case,i,k,dt_s,pressure_pa,exner,rho_kg_m3,temperature_k,supersaturation_percent,w_m_s,qv_before,theta_before_k,qc_before,qr_before,nc_before_per_kg,nr_before_per_kg,qnn_before_per_kg,qv_after,theta_after_k,qc_after,qr_after,nc_after_per_kg,nr_after_per_kg,qnn_after_per_kg
1,2,13, 1.0000000000000000E+001, 9.9827000000000000E+004, 9.9950510263442993E-001, 1.4238047599792480E+000, 2.4421000671386719E+002, 4.9000000953674316E-001, 3.0000000000000000E+000, 3.4745744778774679E-004, 2.4433093261718750E+002, 1.9999999494757503E-004, 7.9999997979030013E-004, 9.3254808000000000E+007, 1.9098580932617188E+002, 2.6530611200000000E+008, 3.4617245546542108E-004, 2.4433422851562500E+002, 2.0128303731326014E-004, 8.0000195885077119E-004, 9.3254808000000000E+007, 1.9098580932617188E+002, 2.6530611200000000E+008
2,3,13, 3.0000000000000000E+001, 9.9654000000000000E+004, 9.9900954961776733E-001, 1.4201064109802246E+000, 2.4441999816894531E+002, 1.5000000000000000E+000, 1.0000000000000000E+001, 3.5859076888300478E-004, 2.4466232299804688E+002, 1.9999999494757503E-004, 3.0000001424923539E-004, 9.3254808000000000E+007, 1.1190578613281250E+003, 8.1632656000000000E+007, 3.5386375384405255E-004, 2.4467445373535156E+002, 2.0471886091399938E-004, 3.0000816332176328E-004, 1.4283491200000000E+008, 1.1190578613281250E+003, 3.2052550000000000E+007
3,4,13, 5.0000000000000000E+000, 9.9481000000000000E+004, 9.9851346015930176E-001, 1.4161267280578613E+000, 2.4463000488281250E+002, 9.5000000000000000E+001, 3.0000000000000000E+000, 7.0389191387221217E-004, 2.4499420166015625E+002, 1.9999999494757503E-004, 3.0000001424923539E-004, 9.3254808000000000E+007, 1.1190578613281250E+003, 3.2653062400000000E+008, 5.1845383131876588E-004, 2.4547007751464844E+002, 3.8511882303282619E-004, 3.0031931237317622E-004, 2.2938100800000000E+008, 1.1190578613281250E+003, 1.9040443200000000E+008
4,1,14, 1.0000000000000000E+000, 8.9000000000000000E+004, 9.6723228693008423E-001, 1.2033665180206299E+000, 2.5700000000000000E+002, 2.5000000000000000E+002, 2.0000000000000000E+001, 4.2338152416050434E-003, 2.6570660400390625E+002, 1.9999999494757503E-004, 3.0000001424923539E-004, 9.3254808000000000E+007, 1.1190578613281250E+003, 2.6530611200000000E+008, 2.9966449365019798E-003, 2.6894378662109375E+002, 1.4363653026521206E-003, 3.0080502619966865E-004, 1.1548495200000000E+008, 1.1190578613281250E+003, 2.4307596800000000E+008
5,2,14, 1.0000000000000000E+001, 8.8827000000000000E+004, 9.6669441461563110E-001, 1.2022434473037720E+000, 2.5720999145507812E+002,-1.0000000000000000E+000, 3.0000000000000000E+000, 1.2211777502670884E-003, 2.6607165527343750E+002, 1.9999999494757503E-004, 3.0000001424923539E-004, 9.3254808000000000E+007, 1.1190578613281250E+003, 2.6530611200000000E+008, 1.2309594312682748E-003, 2.6604605102539062E+002, 1.9021832849830389E-004, 3.0000001424923539E-004, 8.9149968000000000E+007, 1.1190578613281250E+003, 2.6941094400000000E+008
6,3,14, 6.0000000000000000E+001, 8.8654000000000000E+004, 9.6615576744079590E-001, 1.1991254091262817E+000, 2.5742001342773438E+002,-2.5000000000000000E+001, 3.0000000000000000E+000, 9.4334781169891357E-004, 2.6643737792968750E+002, 1.0000000116860974E-007, 3.0000001424923539E-004, 2.3873232421875000E+004, 1.1190578613281250E+003, 2.6530611200000000E+008, 9.4344781246036291E-004, 2.6643710327148438E+002, 0.0000000000000000E+000, 3.0000001424923539E-004, 0.0000000000000000E+000, 1.1190578613281250E+003, 2.6769083200000000E+008
7,4,14, 3.0000000000000000E+001, 8.8481000000000000E+004, 9.6561634540557861E-001, 1.1955169439315796E+000, 2.5763000488281250E+002, 5.0000000000000000E+000, 3.0000000000000000E+000, 1.3466512318700552E-003, 2.6680368041992188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6530611200000000E+008, 1.3003686908632517E-003, 2.6692489624023438E+002, 4.6282570110633969E-005, 0.0000000000000000E+000, 1.7264297600000000E+008, 0.0000000000000000E+000, 9.2663136000000000E+007
8,1,15, 5.0000000000000000E+000, 7.8000000000000000E+004, 9.3143004179000854E-001, 1.0040744543075562E+000, 2.7000000000000000E+002, 3.8999998569488525E-001, 3.0000000000000000E+000, 3.8768455851823092E-003, 2.8987683105468750E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6530611200000000E+008, 3.8768455851823092E-003, 2.8987683105468750E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6550438400000000E+008
9,2,15, 1.0000000000000000E+001, 7.7827000000000000E+004, 9.3083894252777100E-001, 9.9650877714157104E-001, 2.7020999145507812E+002, 1.9050000000000000E+002, 3.0000000000000000E+000, 1.1421135626733303E-002, 2.9028649902343750E+002, 0.0000000000000000E+000, 5.0000002374872565E-004, 0.0000000000000000E+000, 1.8650964355468750E+003, 3.8775510400000000E+008, 1.0108957998454571E-002, 2.9380795288085938E+002, 1.3121773954480886E-003, 5.0000002374872565E-004, 3.9157400000000000E+007, 1.8650964355468750E+003, 3.4859769600000000E+008
10,3,15, 5.0000000000000000E+000, 7.7654000000000000E+004, 9.3024688959121704E-001, 9.9797248840332031E-001, 2.7042001342773438E+002, 8.0000001192092896E-001, 3.0000000000000000E+000, 4.0344917215406895E-003, 2.9069702148437500E+002, 1.9999999494757503E-004, 3.0000001424923539E-004, 3.8197169356800000E+011, 1.1190578613281250E+003, 2.0408164000000000E+007, 4.0170513093471527E-003, 2.9074383544921875E+002, 2.1744024707004428E-004, 3.0000004335306585E-004, 6.4887511040000000E+009, 1.1190578613281250E+003, 2.0040633678436279E+000
11,4,15, 3.0000000000000000E+001, 7.7481000000000000E+004, 9.2965394258499146E-001, 9.9490320682525635E-001, 2.7063000488281250E+002, 2.0000000000000000E+000, 3.0000000000000000E+000, 4.1560861282050610E-003, 2.9110833740234375E+002, 1.9999999494757503E-004, 3.0000001424923539E-004, 9.3254808000000000E+007, 7.1619704000000000E+007, 2.6530611200000000E+008, 4.1106762364506721E-003, 2.9123031616210938E+002, 2.4346799182239920E-004, 3.0194185092113912E-004, 2.4093544000000000E+008, 1.1190578750000000E+006, 1.1762548000000000E+008
12,1,16, 1.0000000000000000E+000, 6.7000000000000000E+004, 8.9181631803512573E-001, 8.1917268037796021E-001, 2.8300000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1288302019238472E-002, 3.1732992553710938E+002, 1.9999999494757503E-004, 3.0000001424923539E-004, 9.3254808000000000E+007, 1.1190578613281250E+003, 2.6530611200000000E+008, 1.1288302019238472E-002, 3.1732992553710938E+002, 1.9999999494757503E-004, 3.0000001424923539E-004, 9.3254808000000000E+007, 1.1190578613281250E+003, 2.6530611200000000E+008
13,2,16, 6.0000000000000000E+001, 6.6827000000000000E+004, 8.9115732908248901E-001, 8.1579273939132690E-001, 2.8320999145507812E+002, 1.0000000000000000E+001, 2.5000000000000000E+001, 1.2625762261450291E-002, 3.1780020141601562E+002, 1.9999999494757503E-004, 3.0000001424923539E-004, 9.3254808000000000E+007, 1.1190578613281250E+003, 4.0816325000000000E+006, 1.2239610776305199E-002, 3.1886901855468750E+002, 5.8558746241033077E-004, 3.0056410469114780E-004, 9.7336432000000000E+007, 1.1190578613281250E+003, 7.6612596511840820E+000
14,3,16, 5.0000000000000000E+000, 6.6654000000000000E+004, 8.9049720764160156E-001, 8.1240195035934448E-001, 2.8342001342773438E+002, 2.0000000000000000E+001,-3.0000000000000000E+000, 1.4004739001393318E-002, 3.1827163696289062E+002, 1.9999999494757503E-004, 3.0000001424923539E-004, 9.3254808000000000E+007, 1.1190578613281250E+003, 2.6530611200000000E+008, 1.3508955948054790E-002, 3.1964462280273438E+002, 6.9505954161286354E-004, 3.0072362278588116E-004, 9.3254800000000000E+007, 1.1190578613281250E+003, 2.6530611200000000E+008
15,4,16, 1.0000000000000000E+001, 6.6481000000000000E+004, 8.8983577489852905E-001, 8.1074446439743042E-001, 2.8363000488281250E+002,-1.0000000149011612E-001, 3.0000000000000000E+000, 1.1854454874992371E-002, 3.1874420166015625E+002, 4.9999999122583502E-014, 4.9999999800209860E-013, 2.3313703015446663E-002, 1.8650963511390728E-006, 1.2244898400000000E+008, 1.1854454874992371E-002, 3.1874420166015625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2324153600000000E+008
