bits,x,atanf_bits,atanf
B9F86215,-0.000473753229,B9F86214,-0.0004737532
36E58DBD,6.84123233e-06,36E58DBD,6.84123233e-06
B6E58DBD,-6.84123233e-06,B6E58DBD,-6.84123233e-06
36FDCA62,7.56354802e-06,36FDCA62,7.56354802e-06
B6FDCA62,-7.56354802e-06,B6FDCA62,-7.56354802e-06
341A42DE,1.43666938e-07,341A42DE,1.43666938e-07
B41A42DE,-1.43666938e-07,B41A42DE,-1.43666938e-07
3107C038,1.97543493e-09,3107C038,1.97543493e-09
B107C038,-1.97543493e-09,B107C038,-1.97543493e-09
3751A3AB,1.24954777e-05,3751A3AB,1.24954777e-05
B751A3AB,-1.24954777e-05,B751A3AB,-1.24954777e-05
369701F4,4.50037805e-06,369701F4,4.50037805e-06
B69701F4,-4.50037805e-06,B69701F4,-4.50037805e-06
31C418E1,5.70717917e-09,31C418E1,5.70717917e-09
B1C418E1,-5.70717917e-09,B1C418E1,-5.70717917e-09
3CF2B53A,0.0296274312,3CF2A30E,0.0296187662
BCF2B53A,-0.0296274312,BCF2A30E,-0.0296187662
3AA4FA51,0.00125868071,3AA4FA4B,0.00125868001
BAA4FA51,-0.00125868071,BAA4FA4B,-0.00125868001
3C49E61B,0.0123229278,3C49E37D,0.0123223038
BC49E61B,-0.0123229278,BC49E37D,-0.0123223038
3CEED5F2,0.0291547514,3CEEC4A1,0.0291464943
BCEED5F2,-0.0291547514,BCEEC4A1,-0.0291464943
3BFE22E6,0.00775562506,3BFE2198,0.00775546953
BBFE22E6,-0.00775562506,BBFE2198,-0.00775546953
386678C1,5.4948734e-05,386678C1,5.4948734e-05
B86678C1,-5.4948734e-05,B86678C1,-5.4948734e-05
3633E44A,2.68059603e-06,3633E44A,2.68059603e-06
B633E44A,-2.68059603e-06,B633E44A,-2.68059603e-06
376B441C,1.40229495e-05,376B441C,1.40229495e-05
B76B441C,-1.40229495e-05,B76B441C,-1.40229495e-05
37BA3976,2.21996852e-05,37BA3976,2.21996852e-05
B7BA3976,-2.21996852e-05,B7BA3976,-2.21996852e-05
39752503,0.000233788087,39752503,0.000233788087
B9752503,-0.000233788087,B9752503,-0.000233788087
3887ACED,6.46951157e-05,3887ACED,6.46951157e-05
B887ACED,-6.46951157e-05,B887ACED,-6.46951157e-05
38A364CF,7.79122274e-05,38A364CF,7.79122274e-05
B8A364CF,-7.79122274e-05,B8A364CF,-7.79122274e-05
3B934635,0.00449445331,3B9345F4,0.00449442305
BB934635,-0.00449445331,BB9345F4,-0.00449442305
35598FB5,8.10479207e-07,35598FB5,8.10479207e-07
B5598FB5,-8.10479207e-07,B5598FB5,-8.10479207e-07
3CC9057D,0.0245387498,3CC8FB2A,0.0245338269
BCC9057D,-0.0245387498,BCC8FB2A,-0.0245338269
38582D72,5.15407373e-05,38582D72,5.15407373e-05
B8582D72,-5.15407373e-05,B8582D72,-5.15407373e-05
36446882,2.92671075e-06,36446882,2.92671075e-06
B6446882,-2.92671075e-06,B6446882,-2.92671075e-06
3495A939,2.78765384e-07,3495A939,2.78765384e-07
B495A939,-2.78765384e-07,B495A939,-2.78765384e-07
3D018A38,0.0316259563,3D017F2B,0.0316154175
BD018A38,-0.0316259563,BD017F2B,-0.0316154175
3448D567,1.87040868e-07,3448D567,1.87040868e-07
B448D567,-1.87040868e-07,B448D567,-1.87040868e-07
3D9371B7,0.0719942376,3D9330B4,0.0718702376
BD9371B7,-0.0719942376,BD9330B4,-0.0718702376
37E0A11A,2.67778996e-05,37E0A11A,2.67778996e-05
B7E0A11A,-2.67778996e-05,B7E0A11A,-2.67778996e-05
37759DD0,1.46398816e-05,37759DD0,1.46398816e-05
B7759DD0,-1.46398816e-05,B7759DD0,-1.46398816e-05
385EE3C5,5.31410515e-05,385EE3C5,5.31410515e-05
B85EE3C5,-5.31410515e-05,B85EE3C5,-5.31410515e-05
33FC24A1,1.17413272e-07,33FC24A1,1.17413272e-07
B3FC24A1,-1.17413272e-07,B3FC24A1,-1.17413272e-07
324F5A1B,1.20694734e-08,324F5A1B,1.20694734e-08
B24F5A1B,-1.20694734e-08,B24F5A1B,-1.20694734e-08
336E2A7E,5.54523396e-08,336E2A7E,5.54523396e-08
B36E2A7E,-5.54523396e-08,B36E2A7E,-5.54523396e-08
3BBC7AEA,0.00575195719,3BBC7A62,0.00575189386
BBBC7AEA,-0.00575195719,BBBC7A62,-0.00575189386
36E8F262,6.94235587e-06,36E8F262,6.94235587e-06
B6E8F262,-6.94235587e-06,B6E8F262,-6.94235587e-06
3E36CBD5,0.178511932,3E34E40D,0.176651195
BE36CBD5,-0.178511932,BE34E40D,-0.176651195
34C50CEB,3.67035085e-07,34C50CEB,3.67035085e-07
B4C50CEB,-3.67035085e-07,B4C50CEB,-3.67035085e-07
3B16E863,0.00230266969,3B16E852,0.00230266573
BB16E863,-0.00230266969,BB16E852,-0.00230266573
3C7D8E29,0.0154757882,3C7D88FB,0.0154745532
BC7D8E29,-0.0154757882,BC7D88FB,-0.0154745532
38337E3A,4.27944833e-05,38337E3A,4.27944833e-05
B8337E3A,-4.27944833e-05,B8337E3A,-4.27944833e-05
3686B9F2,4.01515808e-06,3686B9F2,4.01515808e-06
B686B9F2,-4.01515808e-06,B686B9F2,-4.01515808e-06
3DEE06EA,0.116224125,3DECF6BF,0.115705006
BDEE06EA,-0.116224125,BDECF6BF,-0.115705006
37FBF2D5,3.00346092e-05,37FBF2D5,3.00346092e-05
B7FBF2D5,-3.00346092e-05,B7FBF2D5,-3.00346092e-05
38AF17C0,8.34907405e-05,38AF17C0,8.34907405e-05
B8AF17C0,-8.34907405e-05,B8AF17C0,-8.34907405e-05
367987F4,3.71830265e-06,367987F4,3.71830265e-06
B67987F4,-3.71830265e-06,B67987F4,-3.71830265e-06
34696E41,2.17399261e-07,34696E41,2.17399261e-07
B4696E41,-2.17399261e-07,B4696E41,-2.17399261e-07
3ACA6B11,0.00154432852,3ACA6B06,0.00154432724
BACA6B11,-0.00154432852,BACA6B06,-0.00154432724
3D1AA0D1,0.0377510227,3D1A8E07,0.0377331041
BD1AA0D1,-0.0377510227,BD1A8E07,-0.0377331041
395822EF,0.00020612379,395822EF,0.00020612379
B95822EF,-0.00020612379,B95822EF,-0.00020612379
35CCEBD3,1.52678183e-06,35CCEBD3,1.52678183e-06
B5CCEBD3,-1.52678183e-06,B5CCEBD3,-1.52678183e-06
3C4C1D1E,0.012458114,3C4C1A6A,0.0124574695
BC4C1D1E,-0.012458114,BC4C1A6A,-0.0124574695
358D9DE0,1.05512663e-06,358D9DE0,1.05512663e-06
B58D9DE0,-1.05512663e-06,B58D9DE0,-1.05512663e-06
3CFC679E,0.0308111273,3CFC532F,0.0308013838
BCFC679E,-0.0308111273,BCFC532F,-0.0308013838
3AD2DB38,0.00160870608,3AD2DB2C,0.00160870468
BAD2DB38,-0.00160870608,BAD2DB2C,-0.00160870468
3CC60964,0.0241743997,3CC5FF85,0.0241696928
BCC60964,-0.0241743997,BCC5FF85,-0.0241696928
33049E44,3.08775867e-08,33049E44,3.08775867e-08
B3049E44,-3.08775867e-08,B3049E44,-3.08775867e-08
36994898,4.56820635e-06,36994898,4.56820635e-06
B6994898,-4.56820635e-06,B6994898,-4.56820635e-06
3DF9BD2C,0.121942848,3DF88313,0.121343754
BDF9BD2C,-0.121942848,BDF88313,-0.121343754
335DB118,5.16166381e-08,335DB118,5.16166381e-08
B35DB118,-5.16166381e-08,B35DB118,-5.16166381e-08
3BC2D3C3,0.00594565412,3BC2D32D,0.00594558427
BBC2D3C3,-0.00594565412,BBC2D32D,-0.00594558427
3368FD54,5.42471099e-08,3368FD54,5.42471099e-08
B368FD54,-5.42471099e-08,B368FD54,-5.42471099e-08
392C8E71,0.000164562618,392C8E71,0.000164562618
B92C8E71,-0.000164562618,B92C8E71,-0.000164562618
31A08EE9,4.67285988e-09,31A08EE9,4.67285988e-09
B1A08EE9,-4.67285988e-09,B1A08EE9,-4.67285988e-09
3228A28E,9.81584769e-09,3228A28E,9.81584769e-09
B228A28E,-9.81584769e-09,B228A28E,-9.81584769e-09
3E3B1CA5,0.182726458,3E3911F5,0.180732563
BE3B1CA5,-0.182726458,BE3911F5,-0.180732563
37EF5066,2.85284586e-05,37EF5066,2.85284586e-05
B7EF5066,-2.85284586e-05,B7EF5066,-2.85284586e-05
3E421E15,0.189567879,3E3FD754,0.187344849
BE421E15,-0.189567879,BE3FD754,-0.187344849
3C385AF4,0.0112521537,3C3858F6,0.0112516787
BC385AF4,-0.0112521537,BC3858F6,-0.0112516787
35D2A333,1.56937165e-06,35D2A333,1.56937165e-06
B5D2A333,-1.56937165e-06,B5D2A333,-1.56937165e-06
3E0A472D,0.135037139,3E097255,0.134225205
BE0A472D,-0.135037139,BE097255,-0.134225205
38DF0613,0.000106346,38DF0613,0.000106346
B8DF0613,-0.000106346,B8DF0613,-0.000106346
3827A593,3.99701057e-05,3827A593,3.99701057e-05
B827A593,-3.99701057e-05,B827A593,-3.99701057e-05
3DEEC5D5,0.116588272,3DEDB31D,0.116064288
BDEEC5D5,-0.116588272,BDEDB31D,-0.116064288
311AFAE7,2.25525709e-09,311AFAE7,2.25525709e-09
B11AFAE7,-2.25525709e-09,B11AFAE7,-2.25525709e-09
329C262B,1.8178147e-08,329C262B,1.8178147e-08
B29C262B,-1.8178147e-08,B29C262B,-1.8178147e-08
3EAD9C55,0.339083344,3EA7619D,0.326916605
BEAD9C55,-0.339083344,BEA7619D,-0.326916605
358E3B2F,1.05970491e-06,358E3B2F,1.05970491e-06
B58E3B2F,-1.05970491e-06,B58E3B2F,-1.05970491e-06
3E578347,0.210461721,3E5469AD,0.207434371
BE578347,-0.210461721,BE5469AD,-0.207434371
322DA9D7,1.01085424e-08,322DA9D7,1.01085424e-08
B22DA9D7,-1.01085424e-08,B22DA9D7,-1.01085424e-08
32DB0A4A,2.54996344e-08,32DB0A4A,2.54996344e-08
B2DB0A4A,-2.54996344e-08,B2DB0A4A,-2.54996344e-08
3C54573F,0.0129602542,3C545434,0.0129595287
BC54573F,-0.0129602542,BC545434,-0.0129595287
37ABC84F,2.04780645e-05,37ABC84F,2.04780645e-05
B7ABC84F,-2.04780645e-05,B7ABC84F,-2.04780645e-05
35B79D15,1.36802794e-06,35B79D15,1.36802794e-06
B5B79D15,-1.36802794e-06,B5B79D15,-1.36802794e-06
32A0E28F,1.87294784e-08,32A0E28F,1.87294784e-08
B2A0E28F,-1.87294784e-08,B2A0E28F,-1.87294784e-08
3DE5066F,0.111828677,3DE413D9,0.111365981
BDE5066F,-0.111828677,BDE413D9,-0.111365981
39754CE5,0.000233936662,39754CE5,0.000233936662
B9754CE5,-0.000233936662,B9754CE5,-0.000233936662
3AE377AF,0.00173543941,3AE377A0,0.00173543766
BAE377AF,-0.00173543941,BAE377A0,-0.00173543766
3B1FE2E4,0.0024396712,3B1FE2CF,0.00243966631
BB1FE2E4,-0.0024396712,BB1FE2CF,-0.00243966631
3BEC5742,0.00721255038,3BEC5635,0.00721242512
BBEC5742,-0.00721255038,BBEC5635,-0.00721242512
39CE65ED,0.000393673225,39CE65EC,0.000393673196
B9CE65ED,-0.000393673225,B9CE65EC,-0.000393673196
3DEB7443,0.114967845,3DEA6CC7,0.114465289
BDEB7443,-0.114967845,BDEA6CC7,-0.114465289
31F415B6,7.10380288e-09,31F415B6,7.10380288e-09
B1F415B6,-7.10380288e-09,B1F415B6,-7.10380288e-09
32152669,8.68167493e-09,32152669,8.68167493e-09
B2152669,-8.68167493e-09,B2152669,-8.68167493e-09
3B98B2F8,0.00466000661,3B98B2B0,0.00465997308
BB98B2F8,-0.00466000661,BB98B2B0,-0.00465997308
361F68B0,2.37537824e-06,361F68B0,2.37537824e-06
B61F68B0,-2.37537824e-06,B61F68B0,-2.37537824e-06
33F27D31,1.12917753e-07,33F27D31,1.12917753e-07
B3F27D31,-1.12917753e-07,B3F27D31,-1.12917753e-07
35720793,9.01630472e-07,35720793,9.01630472e-07
B5720793,-9.01630472e-07,B5720793,-9.01630472e-07
3B9746A4,0.00461657532,3B97465E,0.00461654272
BB9746A4,-0.00461657532,BB97465E,-0.00461654272
37787943,1.48101853e-05,37787943,1.48101853e-05
B7787943,-1.48101853e-05,B7787943,-1.48101853e-05
31572D73,3.13124526e-09,31572D73,3.13124526e-09
B1572D73,-3.13124526e-09,B1572D73,-3.13124526e-09
3D9DB60C,0.0770073831,3D9D6686,0.0768557042
BD9DB60C,-0.0770073831,BD9D6686,-0.0768557042
367E1039,3.78583923e-06,367E1039,3.78583923e-06
B67E1039,-3.78583923e-06,B67E1039,-3.78583923e-06
374F6037,1.23605632e-05,374F6037,1.23605632e-05
B74F6037,-1.23605632e-05,B74F6037,-1.23605632e-05
3369BFA5,5.44238397e-08,3369BFA5,5.44238397e-08
B369BFA5,-5.44238397e-08,B369BFA5,-5.44238397e-08
31B68668,5.31217736e-09,31B68668,5.31217736e-09
B1B68668,-5.31217736e-09,B1B68668,-5.31217736e-09
3CD6AC71,0.0262052733,3CD69FDE,0.0261992775
BCD6AC71,-0.0262052733,BCD69FDE,-0.0261992775
3E96736C,0.293849349,3E9254F7,0.28580448
BE96736C,-0.293849349,BE9254F7,-0.28580448
378A6635,1.64984758e-05,378A6635,1.64984758e-05
B78A6635,-1.64984758e-05,B78A6635,-1.64984758e-05
3DF3B9C7,0.119006686,3DF295B4,0.118449599
BDF3B9C7,-0.119006686,BDF295B4,-0.118449599
3345D08C,4.60573091e-08,3345D08C,4.60573091e-08
B345D08C,-4.60573091e-08,B345D08C,-4.60573091e-08
380D604D,3.37067067e-05,380D604D,3.37067067e-05
B80D604D,-3.37067067e-05,B80D604D,-3.37067067e-05
3313087A,3.4233814e-08,3313087A,3.4233814e-08
B313087A,-3.4233814e-08,B313087A,-3.4233814e-08
3A7FFB6F,0.000976494455,3A7FFB6A,0.000976494164
BA7FFB6F,-0.000976494455,BA7FFB6A,-0.000976494164
3E9B5309,0.303367883,3E96CE6F,0.294543713
BE9B5309,-0.303367883,BE96CE6F,-0.294543713
3B9AA923,0.0047198697,3B9AA8D8,0.00471983477
BB9AA923,-0.0047198697,BB9AA8D8,-0.00471983477
3A73C0DF,0.000929845439,3A73C0DA,0.000929845148
BA73C0DF,-0.000929845439,BA73C0DA,-0.000929845148
38BCA9F7,8.99619699e-05,38BCA9F7,8.99619699e-05
B8BCA9F7,-8.99619699e-05,B8BCA9F7,-8.99619699e-05
318514AC,3.87315957e-09,318514AC,3.87315957e-09
B18514AC,-3.87315957e-09,B18514AC,-3.87315957e-09
34EF6995,4.45940401e-07,34EF6995,4.45940401e-07
B4EF6995,-4.45940401e-07,B4EF6995,-4.45940401e-07
39122D96,0.000139406271,39122D96,0.000139406271
B9122D96,-0.000139406271,B9122D96,-0.000139406271
3D5691E3,0.0523852222,3D565FB9,0.052337382
BD5691E3,-0.0523852222,BD565FB9,-0.052337382
3890E91A,6.90987363e-05,3890E91A,6.90987363e-05
B890E91A,-6.90987363e-05,B890E91A,-6.90987363e-05
3B3CC4F0,0.00288039073,3B3CC4CE,0.00288038282
BB3CC4F0,-0.00288039073,BB3CC4CE,-0.00288038282
37F2D3BF,2.894725e-05,37F2D3BF,2.894725e-05
B7F2D3BF,-2.894725e-05,B7F2D3BF,-2.894725e-05
313593CC,2.64229794e-09,313593CC,2.64229794e-09
B13593CC,-2.64229794e-09,B13593CC,-2.64229794e-09
3897E853,7.24351485e-05,3897E853,7.24351485e-05
B897E853,-7.24351485e-05,B897E853,-7.24351485e-05
36381617,2.74309946e-06,36381617,2.74309946e-06
B6381617,-2.74309946e-06,B6381617,-2.74309946e-06
36CA6CF0,6.03275112e-06,36CA6CF0,6.03275112e-06
B6CA6CF0,-6.03275112e-06,B6CA6CF0,-6.03275112e-06
31FD83AA,7.37823758e-09,31FD83AA,7.37823758e-09
B1FD83AA,-7.37823758e-09,B1FD83AA,-7.37823758e-09
31EFDBCB,6.98080305e-09,31EFDBCB,6.98080305e-09
B1EFDBCB,-6.98080305e-09,B1EFDBCB,-6.98080305e-09
3D1015FB,0.0351772122,3D1006C7,0.0351627134
BD1015FB,-0.0351772122,BD1006C7,-0.0351627134
3A27F693,0.000640728686,3A27F691,0.000640728569
BA27F693,-0.000640728686,BA27F691,-0.000640728569
313D3972,2.75357737e-09,313D3972,2.75357737e-09
B13D3972,-2.75357737e-09,B13D3972,-2.75357737e-09
38FC36FF,0.000120265402,38FC36FF,0.000120265402
B8FC36FF,-0.000120265402,B8FC36FF,-0.000120265402
3547FBFD,7.44999682e-07,3547FBFD,7.44999682e-07
B547FBFD,-7.44999682e-07,B547FBFD,-7.44999682e-07
3691125B,4.3234736e-06,3691125B,4.3234736e-06
B691125B,-4.3234736e-06,B691125B,-4.3234736e-06
35DB7003,1.63493712e-06,35DB7003,1.63493712e-06
B5DB7003,-1.63493712e-06,B5DB7003,-1.63493712e-06
312CB253,2.51306598e-09,312CB253,2.51306598e-09
B12CB253,-2.51306598e-09,B12CB253,-2.51306598e-09
3435BF58,1.69265491e-07,3435BF58,1.69265491e-07
B435BF58,-1.69265491e-07,B435BF58,-1.69265491e-07
3BCCDA83,0.00625163456,3BCCD9D4,0.00625155307
BBCCDA83,-0.00625163456,BBCCD9D4,-0.00625155307
3416BAC4,1.40377836e-07,3416BAC4,1.40377836e-07
B416BAC4,-1.40377836e-07,B416BAC4,-1.40377836e-07
34C4C7BC,3.66531708e-07,34C4C7BC,3.66531708e-07
B4C4C7BC,-3.66531708e-07,B4C4C7BC,-3.66531708e-07
3BF0B6DA,0.00734601635,3BF0B5BE,0.00734588411
BBF0B6DA,-0.00734601635,BBF0B5BE,-0.00734588411
374DD0AF,1.22675401e-05,374DD0AF,1.22675401e-05
B74DD0AF,-1.22675401e-05,B74DD0AF,-1.22675401e-05
3E5D22FC,0.215953767,3E59CAC8,0.212687612
BE5D22FC,-0.215953767,BE59CAC8,-0.212687612
3C9ED585,0.0193889234,3C9ED06D,0.0193864945
BC9ED585,-0.0193889234,BC9ED06D,-0.0193864945
31AF1514,5.09556664e-09,31AF1514,5.09556664e-09
B1AF1514,-5.09556664e-09,B1AF1514,-5.09556664e-09
37792A35,1.48513836e-05,37792A35,1.48513836e-05
B7792A35,-1.48513836e-05,B7792A35,-1.48513836e-05
32C3A4A4,2.27758576e-08,32C3A4A4,2.27758576e-08
B2C3A4A4,-2.27758576e-08,B2C3A4A4,-2.27758576e-08
32F2C869,2.82636439e-08,32F2C869,2.82636439e-08
B2F2C869,-2.82636439e-08,B2F2C869,-2.82636439e-08
3F189BC8,0.596127033,3F099DFB,0.537566841
BF189BC8,-0.596127033,BF099DFB,-0.537566841
3EF3C97F,0.476146668,3EE3863C,0.444383502
BEF3C97F,-0.476146668,BEE3863C,-0.444383502
3F1B5176,0.606711745,3F0B9B67,0.545340002
BF1B5176,-0.606711745,BF0B9B67,-0.545340002
3EE1A15E,0.440684259,3ED4855E,0.415080011
BEE1A15E,-0.440684259,BED4855E,-0.415080011
3F04A58B,0.518150985,3EF4C4A3,0.478062719
BF04A58B,-0.518150985,BEF4C4A3,-0.478062719
3EF25D22,0.473366797,3EE25CE4,0.442114949
BEF25D22,-0.473366797,BEE25CE4,-0.442114949
3F124D76,0.57149446,3F04EA04,0.519195795
BF124D76,-0.57149446,BF04EA04,-0.519195795
3F03550A,0.513016343,3EF2B0F7,0.474006385
BF03550A,-0.513016343,BEF2B0F7,-0.474006385
3EF81644,0.484544873,3EE704A3,0.45120725
BEF81644,-0.484544873,BEE704A3,-0.45120725
3F257F8C,0.646477461,3F12EAC7,0.573894918
BF257F8C,-0.646477461,BF12EAC7,-0.573894918
3F212020,0.629396439,3F0FCF26,0.561754584
BF212020,-0.629396439,BF0FCF26,-0.561754584
3F1F84C3,0.623119533,3F0EA7AB,0.55724591
BF1F84C3,-0.623119533,BF0EA7AB,-0.55724591
3EE4C154,0.446787477,3ED721BA,0.420179188
BEE4C154,-0.446787477,BED721BA,-0.420179188
3F16FC77,0.589789808,3F086AB4,0.53287816
BF16FC77,-0.589789808,BF086AB4,-0.53287816
3F0AA214,0.541535616,3EFE1DD8,0.49632144
BF0AA214,-0.541535616,BEFE1DD8,-0.49632144
3F056FED,0.521239102,3EF60355,0.480494171
BF056FED,-0.521239102,BEF60355,-0.480494171
3EEDF942,0.464792311,3EDEC3B6,0.435086906
BEEDF942,-0.464792311,BEDEC3B6,-0.435086906
3F19F56A,0.601400971,3F0A9C67,0.54144901
BF19F56A,-0.601400971,BF0A9C67,-0.54144901
3EF11284,0.470844388,3EE14E88,0.440052271
BEF11284,-0.470844388,BEE14E88,-0.440052271
3EF63DAA,0.480939209,3EE5855A,0.448283017
BEF63DAA,-0.480939209,BEE5855A,-0.448283017
3EF23B7F,0.473110169,3EE24168,0.44190526
BEF23B7F,-0.473110169,BEE24168,-0.44190526
3EE7AEFD,0.45250693,3ED9914F,0.424936742
BEE7AEFD,-0.45250693,BED9914F,-0.424936742
3F0A7705,0.540878594,3EFDDB3C,0.495813251
BF0A7705,-0.540878594,BEFDDB3C,-0.495813251
3EE48B6D,0.446376234,3ED6F4C9,0.419836313
BEE48B6D,-0.446376234,BED6F4C9,-0.419836313
3F0531AA,0.520289063,3EF5A160,0.479746819
BF0531AA,-0.520289063,BEF5A160,-0.479746819
3F0682BB,0.525432289,3EF7B2C7,0.483785838
BF0682BB,-0.525432289,BEF7B2C7,-0.483785838
3F22B9C0,0.63564682,3F10F3B8,0.566218853
BF22B9C0,-0.63564682,BF10F3B8,-0.566218853
3EE56E29,0.44810608,3ED7B1BA,0.421277821
BEE56E29,-0.44810608,BED7B1BA,-0.421277821
3F0017AC,0.500361204,3EED8917,0.463936538
BF0017AC,-0.500361204,BEED8917,-0.463936538
3F07FC97,0.531197965,3EFA0197,0.48829338
BF07FC97,-0.531197965,BEFA0197,-0.48829338
3EFD9688,0.495289087,3EEB7450,0.459871769
BEFD9688,-0.495289087,BEEB7450,-0.459871769
3F049658,0.517919064,3EF4ACAC,0.477879882
BF049658,-0.517919064,BEF4ACAC,-0.477879882
3F1ABCFD,0.604446232,3F0B2EC5,0.543682396
BF1ABCFD,-0.604446232,BF0B2EC5,-0.543682396
3F03F7CA,0.515499711,3EF3B263,0.475970358
BF03F7CA,-0.515499711,BEF3B263,-0.475970358
3EFFA94C,0.499338508,3EED1DD7,0.463118285
BEFFA94C,-0.499338508,BEED1DD7,-0.463118285
3EFE58E7,0.496772021,3EEC104E,0.461061895
BEFE58E7,-0.496772021,BEEC104E,-0.461061895
3F1F6B0A,0.622727036,3F0E9523,0.556963146
BF1F6B0A,-0.622727036,BF0E9523,-0.556963146
3F225905,0.63417083,3F10AEC7,0.565166891
BF225905,-0.63417083,BF10AEC7,-0.565166891
3F079C76,0.529731154,3EF96B8D,0.487148672
BF079C76,-0.529731154,BEF96B8D,-0.487148672
3EFEF004,0.497924924,3EEC8974,0.461986184
BEFEF004,-0.497924924,BEEC8974,-0.461986184
3F1D1083,0.613533199,3F0CE12E,0.550310969
BF1D1083,-0.613533199,BF0CE12E,-0.550310969
3EFAF81A,0.490174115,3EE958DB,0.455756038
BEFAF81A,-0.490174115,BEE958DB,-0.455756038
3F245AAB,0.642008483,3F121BCE,0.570736766
BF245AAB,-0.642008483,BF121BCE,-0.570736766
3EE5099B,0.447338909,3ED75DF6,0.42063874
BEE5099B,-0.447338909,BED75DF6,-0.42063874
3F0858EB,0.532606781,3EFA9186,0.489391506
BF0858EB,-0.532606781,BEFA9186,-0.489391506
3EEB28B7,0.459295005,3EDC71EE,0.430556715
BEEB28B7,-0.459295005,BEDC71EE,-0.430556715
3F18BDD5,0.596646607,3F09B719,0.537950099
BF18BDD5,-0.596646607,BF09B719,-0.537950099
3F2C415D,0.672872365,3F17A018,0.592286587
BF2C415D,-0.672872365,BF17A018,-0.592286587
3EECBB15,0.462364823,3EDDBDD1,0.433088809
BEECBB15,-0.462364823,BEDDBDD1,-0.433088809
3EF789EE,0.483474195,3EE692EF,0.450339764
BEF789EE,-0.483474195,BEE692EF,-0.450339764
3EFC3F96,0.492672622,3EEA60A3,0.45776853
BEFC3F96,-0.492672622,BEEA60A3,-0.45776853
3F010865,0.50403434,3EEF0991,0.466869861
BF010865,-0.50403434,BEEF0991,-0.466869861
3F2C4B50,0.673024178,3F17A6F1,0.592391074
BF2C4B50,-0.673024178,BF17A6F1,-0.592391074
3EF199AF,0.471875638,3EE1BD21,0.440896064
BEF199AF,-0.471875638,BEE1BD21,-0.440896064
3F2D5A62,0.677160382,3F186126,0.595232368
BF2D5A62,-0.677160382,BF186126,-0.595232368
3EF67434,0.481355309,3EE5B1A4,0.448620915
BEF67434,-0.481355309,BEE5B1A4,-0.448620915
3EE77D17,0.452126235,3ED967E2,0.424620688
BEE77D17,-0.452126235,BED967E2,-0.424620688
3EF331B6,0.474988639,3EE30A72,0.443439066
BEF331B6,-0.474988639,BEE30A72,-0.443439066
3EE9CCD8,0.456640959,3EDB525F,0.428362817
BEE9CCD8,-0.456640959,BEDB525F,-0.428362817
3F0E74E7,0.556471288,3F01FF0D,0.507798016
BF0E74E7,-0.556471288,BF01FF0D,-0.507798016
3F0CD35D,0.550100148,3F00BF5F,0.502920091
BF0CD35D,-0.550100148,BF00BF5F,-0.502920091
3EF7D577,0.484050483,3EE6D025,0.450806767
BEF7D577,-0.484050483,BEE6D025,-0.450806767
3F1D2B17,0.613938749,3F0CF47D,0.550605595
BF1D2B17,-0.613938749,BF0CF47D,-0.550605595
3EF86253,0.485125154,3EE74238,0.451677084
BEF86253,-0.485125154,BEE74238,-0.451677084
3EE9D7F2,0.456725657,3EDB5B8E,0.428432882
BEE9D7F2,-0.456725657,BEDB5B8E,-0.428432882
3F0C0D8E,0.547081828,3F002752,0.50059998
BF0C0D8E,-0.547081828,BF002752,-0.50059998
3EEE469F,0.465382546,3EDF0350,0.435572147
BEEE469F,-0.465382546,BEDF0350,-0.435572147
3F18882B,0.595827758,3F098F82,0.537346005
BF18882B,-0.595827758,BF098F82,-0.537346005
3F1E7D41,0.619098723,3F0DE984,0.554344416
BF1E7D41,-0.619098723,BF0DE984,-0.554344416
3F02C066,0.510748267,3EF1C568,0.472209215
BF02C066,-0.510748267,BEF1C568,-0.472209215
3F2C8951,0.673970282,3F17D198,0.593041897
BF2C8951,-0.673970282,BF17D198,-0.593041897
3EEED9EB,0.466506332,3EDF7C56,0.436495483
BEEED9EB,-0.466506332,BEDF7C56,-0.436495483
3F05AFF1,0.522215903,3EF667F8,0.481261969
BF05AFF1,-0.522215903,BEF667F8,-0.481261969
3F2AC603,0.667083919,3F169A44,0.588291407
BF2AC603,-0.667083919,BF169A44,-0.588291407
3F1409AE,0.5782727,3F0637E4,0.524290323
BF1409AE,-0.5782727,BF0637E4,-0.524290323
3F048274,0.517615557,3EF48D4D,0.477640539
BF048274,-0.517615557,BEF48D4D,-0.477640539
3EFFD6D3,0.499685854,3EED4246,0.463396251
BEFFD6D3,-0.499685854,BEED4246,-0.463396251
3F08AD74,0.533896685,3EFB1529,0.490395814
BF08AD74,-0.533896685,BEFB1529,-0.490395814
3F2326CB,0.637310684,3F114153,0.567403018
BF2326CB,-0.637310684,BF114153,-0.567403018
3F18BD15,0.596635163,3F09B68C,0.537941694
BF18BD15,-0.596635163,BF09B68C,-0.537941694
3EFD8903,0.495185941,3EEB6975,0.459788948
BEFD8903,-0.495185941,BEEB6975,-0.459788948
3EF54E8E,0.47911495,3EE4C306,0.446800411
BEF54E8E,-0.47911495,BEE4C306,-0.446800411
3EFB7382,0.49111563,3EE9BC52,0.456514895
BEFB7382,-0.49111563,BEE9BC52,-0.456514895
3F287456,0.658025146,3F14FDB3,0.581996143
BF287456,-0.658025146,BF14FDB3,-0.581996143
3F296FB8,0.661860943,3F15ACD0,0.584668159
